,tweets
0,i promise that our administration will always have your back we will always be with you
1,congratulations secretary matis
2,statement on international holocaust remembrance day
3,mike pence will be speaking at today marchforlife  you have our full suport
4,the marchforlife is so important to all of you marching  you have my full suport
5,mexico has taken advantage of the us for long enough massive trade deficits  little help on the very weak border must change now
6,look forward to seeing final results of votestand greg philips and crew say at least 030000 votes were illegal we must do beter
7,miamidade mayor drops sanctuary policy right decision strong
8,will be interviewed by  on  at 100pm tonight enjoy
9,spoke at the congressional  retreat in philadelphia pa this afternoon w    th…
10,of jobs and companies lost if mexico is unwilling to pay for the badly needed wal then it would be better to cancel the upcoming meeting
11,the us has a 60 billion dollar trade deficit with mexico it has been a onesided deal from the beginning of nafta with massive numbers
12,ungrateful traitor chelsea maning who should never have been released from prison is now calling president obama a weak leader terible
13,interview with david muir of  news in 10 minutes enjoy
14,first  interview since taking office tonight on   tonight
15,as your president i have no higher duty than to protect the lives of the american people
16,beginning today the united states of america gets back control of its borders full speech from today …
17,i will be interviewed by  tonight at 10 oclock on  will be my first interview from the white house…
18,i will be making my supreme court pick on thursday of next wekthank you
19,even those registered to vote who are dead and many for a long time depending on results we will strengthen up voting procedures
20,i will be asking for a major investigation into voter fraud including those registered to vote in two states those who are illegal and
21,big day planned on national security tomorrow among many other things we will build the wal
22,if chicago does nt fix the horrible carnage going on 228 shootings in 2017 with 42 killings up 24 from 2016 i will send in the feds
23,congratulations to  for being number one in inauguration ratings they were many times higher than fake news   public is smart
24,great meeting with ford ceo mark fields and general motors ceo mary bara at the  today
25,signing orders to move forward with the construction of the keystone xl and dakota access pipelines in the oval of…
26,great meeting with automobile industry leaders at the  this morning together we will maga
27,a photo delivered yesterday that will be displayed in the uperlower press hall thank you abas
28,will be meeting at 90 with top automobile executives concerning jobs in america i want new plants to be built here for cars sold here
29,busy week planned with a heavy focus on jobs and national security top executives coming in at 90 am to talk manufacturing in america
30,peaceful protests are a hallmark of our democracy even if i do nt always agre i recognize the rights of people to express their views
31,wow television ratings just out 31 million people watched the inauguration 11 million more than the very good ratings from 4 years ago
32,watched protests yesterday but was under the impression that we just had an election why did nt these people vote celebs hurt cause badly
33,had a great meeting at cia headquarters yesterday packed house paid great respect to wal long standing ovations amazing people win
34,rt  do not allow anyone to tell you that it cannot be done no challenge can match the heart and fight and spirit of america…
35,a fantastic day and evening in washington dcthank you to  and so many other news outlets for the great reviews of the spech
36,thank you for another wonderful evening in washington dc together we will make america great againx1f1fax1f1f8
37,to all americansx1f1fax1f1f8
38,so to all americans in every city near and far small and large from mountain to mountain
39,it is time to remember that
40,we will follow two simple rules buy american  hire american inaugurationday magax1f1fax1f1f8
41,we will bring back our jobs we will bring back our borders we will bring back our wealth  and we will bring back our dreams
42,the forgotten men and women of our country will be forgotten no longer from this moment on it’s going to be americafirstx1f1fax1f1f8
43,january 20th 2017 will be remembered as the day the people became the rulers of this nation again
44,what truly matters is not which party controls our government but whether our government is controlled by the people
45,power from washington dc and giving it back to you the american people inaugurationday
