,label,tweets
0,0,is upset that he ca nt update his facebok by texting it and might cry as a result school today also blah
1,0,i dived many times for the ball managed to save 50 the rest go out of bounds
2,0,my whole body feels itchy and like its on fire
3,0,no it not behaving at all im mad why am i here because i ca nt see you all over there
4,0,not the whole crew
5,0,need a hug
6,0,hey long time no se yes rains a bit only a bit lol im fine thanks how you
7,0,k nope they did nt have it
8,0,que me muera
9,0,spring break in plain city it snowing
10,0,i just repierced my ears
11,0,i could nt bear to watch it and i thought the ua loss was embarrassing
12,0,it it counts idk why i did either you never talk to me anymore
13,0,i wouldve been the first but i did nt have a gun not really though zac snyder just a doucheclown
14,0,i wish i got to watch it with you i miss you and  how was the premiere
15,0,holis death scene will hurt me severely to watch on film wry is directors cut not out now
16,0,about to file taxes
17,0,ah ive always wanted to see rent love the soundtrack
18,0,oh dear were you drinking out of the forgotten table drinks
19,0,i was out most of the day so did nt get much done
20,0,one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh
21,0,barista i baked you a cake but i ated it
22,0,this week is not going as i had hoped
23,0,blagh class at 8 tomorrow
24,0,i hate when i have to call and wake people up
25,0,just going to cry myself to sleep after watching marley and me
26,0,im sad now mislily
27,0,ooh lol that leslie and ok i wo nt do it again so leslie wo nt get mad again
28,0,meh almost lover is the exception this track gets me depressed every time
29,0,some1 hacked my account on aim now i have to make a new one
30,0,i want to go to promote gear and groove but unfornately no ride there i may b going to the one in anaheim in may though
31,0,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternon
32,0,awe i love you to 1 am here i miss you
33,0,i cry my asian eyes to sleep at night
34,0,ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now
35,0,ill tell ya the story later not a good day and ill be workin for like three more hours
36,0,sory bed time came here gmt1
37,0,i do nt either its depressing i do nt think i even want to know about the kids in suitcases
38,0,bed class 812 work 123 gym 35 or 6 then class 610 another day that gonna fly by i miss my girlfriend
39,0,really do nt feel like getting up today but got to study to for tomorrows practical exam
40,0,he the reason for the teardrops on my guitar the only one who has enough of me to break my heart
41,0,sad sad sad i do nt know why but i hate this feeling i wanna sleep and i still ca nt
42,0,aw i so wish i was there to see you finally comfortable im sad that i missed it
43,0,falling asleep just heard about that tracy girl body being found how sad my heart breaks for that family
44,0,yay im happy for you with your job but that also means less time for me and you
45,0,just checked my user timeline on my blackbery it looks like the twanking is still happening are pl still having probs w bgs and uids
46,0,oh manwas ironing  fave top to wear to a meeting burnt it
47,0,is strangely sad about lilo and samro breaking up
48,0,oh im so sorry i did nt think about that before retweting
49,0,broadband plan a massive broken promise via wdigocomtautao still waiting for broadband we are
50,0,wow tons of replies from you may have to unfolow so i can see my friends twets you re scrolling the feed a lot
51,0,our duck and chicken are taking way too long to hatch
52,0,put vacation photos online a few yrs ago pc crashed and now i forget the name of the site
53,0,i need a hug
54,0,not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy
55,0,i hate when that happens
56,0,i have a sad feeling that dalas is not going to show up i gotta say though you d think more shows would use music from the game mm
57,0,ugh92 degrees tomorrow
58,0,where did u move to i thought u were already in sd hm random u found me glad to hear yer doing well
59,0,i miss my ps3 it out of commission wutcha playing have you copped blod on the sand
60,0,just leaving the parking lot of work
61,0,the life is cool but not for me
62,0,sadly though ive never gotten to experience the post coitus cigarette before and now i never will
63,0,i had such a nice day too bad the rain comes in tomorrow at 5am
64,0,too bad i wo nt be around i lost my job and ca nt even pay my phone bill lmao aw shucks
65,0,dam back to school tomorrow
66,0,mo jobs no money how in the hell is min wage here 4 fn clams an hour
67,0,not forever see you son
68,0,algonquin agred i saw the failwhale all day today
69,0,oh haha dude i dont really look at em unless someone says hey i added you sorry im so terrible at that i need a pop up
70,0,im sure you re right i need to start working out with you and the nikster or jared at least
71,0,i really hate how people dis my bands trace is clearly not ugly
72,0,gym attire today was puma singlet adidas shortsand black business socks and leather shoes lucky did not run into any cute girls
73,0,why wo nt you show my location
74,0,no picnic my phone smells like citrus
75,0,my donkey is sensitive about such comments nevertheles he d and me d be glad to see your mug asap charger is still awol
76,0,no new csi tonight fml
77,0,i think my arms are sore from tennis
78,0,wonders why someone that u like so much can make you so unhappy in a split second  depressed
79,0,sleep soon i just hate saying bye and see you tomorrow for the night
80,0,just got ur newsleter those fares really are unbelievable shame i already booked and paid for mine
81,0,misin the boo
82,0,me too itm
83,0,damn i do nt have any chalk my chalkboard is useless
84,0,had a blast at the gety vila but hates that she had a sore throat all day it just getting worse too
85,0,hey missed ya at the meeting sup mama
86,0,my tummy hurts i wonder if the hypnosis has anything to do with it if so it working i get it stop smoking
87,0,why is it always the fat ones
88,0,sory babe my fam annoys me too thankfuly they re asleep right now muahaha evil laugh
89,0,i should have paid more attention when we covered photoshop in my webpage design class in undergrad
90,0,wednesday my bday do nt know what 2 do
91,0,poor cameron the hils
92,0,pray for me please the ex is threatening to start sh at myour babies 1st birthday party what a jerk and i still have a headache
93,0,hm do u really enjoy being with him if the problems are too constants u should think things more find someone ulike
94,0,strider is a sick little puppy
95,0,so rylegracewana go steve party or not sadly since its easter i wnt b able 2 do much but oh well
96,0,hey i actually won one of my bracket pols too bad it was nt the one for money
97,0,you do nt follow me either and i work for you
98,0,a bad nite for the favorite teams astros and spartans lose the nite out with tw was good
99,0,body of missing northern calif girl found police have found the remains of a missing northern california girl
100,0,i hope they will increase the capacity fast yesterday was such a pain got the fail whale 15 times in 2 hours
